Autor e ano,País,Região,Sítio,longitude (m),,latitude (m),,Elevação(m),População/Cultura,Cronologia,Data_absoluta B.P,,cal yr Sim - 1 ou não - 0,,sexo,,,faixa de Idade,,,,,Média de estatura (cm),Violência (o ou1),N_total_id,N_id_afetados,N_id_antimortem,N_ferimentos Antimortem,N_id_perimortem,N_ferimentos Peri-mortem,Anti_Peri,Tr_anterior_ caso,,,,,,,,Tr_posterior_casos,,,,,,,,,,,,,,,,,,,,,,Cabeça troféu,,,,,N_Total_póscrânio,N_afetados,Costela,Vértebras,,,Tórax,Membros superiores,,,,,,,Membros inferiores,,,,Tipo de fratura,,,Forma da fratura,,,,Tipo de Arma,,Tipo de Evento,,,,,,,Nutricionais,,,Infecciosas,,Congênitas,Ambientais,,Dentes,,,nutricionais,,infecciosas,,Congênitas,Ambientais,,,,,,,Cultura material,Iconografia_V,Petrografia_V,Ev_Fortificação,Sítio Agrupado,Org_sociopolítica,Pad_Assentamento,Clima,Carc_Geografica,Estrg_subsistencia
,,,,Leste,Oeste,Norte,Sul,,,,De,Até,,Lab,M,F,Nid,Adultos,Jovem Adulto,Sub-adultos,Senil,Nid,,,,,,,,,,Total_anterior,Antimortem_anterior,Perimortem_anterior,Nasal,Maxilar,Boca_mandibula,Frontal,Sutura_frontozigomática,Total_posterior,Antimortem_posterior,Perimortem_posterior,Occipital,Pariental total,Parietal E,Pariental D,Pterion,Total_Lateral,Antimortem_Lateral,Perimortem_Lateral,Lateral E,Lateral D,Zigomático,Processo_Zigomático D,Processo_Zigomático_E,Temporal total,Temporal E,Temporal D,Tr_superior,Antimortem_superior,Perimortem_superior,presença,N_Cabeça troféu,N_cabeça troféu com trauma,N_id_antimortem,N_id_Perimortem,,,,Lombares,Toráxicas,Cervicais,,Total,Glenoid,húmero,radio,ulna,Acetabulo,escápula,Femur,Tíbia,Fíbula,,Depressiva,Perfurante,Cortante,Circular,,Flecha_Projétil,Lâmina,Corpo,Exten_corpo,Agressão interpessoal,Rading_invasão,guerra,canibalismo,Ritual,Acidental/Laboral,Achatamento (qt de individuos),Total_Patologias,cribia orbitaria,Hiperostosis porotica,periostiti,osteomielite,,,Exostóse_ouvido,Caries,Hipoplasia linear,Reabsorção aveolar,cribia orbitaria,Hiperostosis porótica,periostiti,osteomeliti,Fusão nas vertebras,,Osteoporose,Exostose,Osteofitose,Espodilose,Osteoartrite,Padr.Funerário,,,,,,,,,,
Standen and Santoro 2004,Chile,Vale de Azapa ,Acha-3,365553.71,,,7954602.00,95,Relacionada a Chinchorro,Arcaico,9000,8000,0,NA,1,0,0,1,0,0,0,0,,1,2,1,1,,0,,,1,,,1,1,0,0,0,0,,,0,1,1,0,0,1,,,,,0,0,0,0,0,0,,,,,,,,,,,1,1,0,0,0,0,,0,0,0,,0,,,,,1,0,,0,,0,0,0,0,1,,0,0,0,1,,5,0,1,0,0,0,0,1,,,,0,0,2,0,1,0,,,,,,,"azóis de osso, fibra vegetal, lasca de quartizo, corda de couro de camelídeo",,,0,,Tribo,aldeia,Desértico,costa,pesca-caça-coleta
Standen et al 2010,Chile,Vale de Azapa ,AZ - 146,375393.00 ,,,7951291.00,, NID,Formativo Tardio,2740,1930,1,Beta Analytic,1,0,0,1,0,0,0,0,,1,3,3,0,,3,,,3,,,,,,,,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,0,1,,1,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,maça ou porrete,,,0,,Tribo,,Desértico,vale,agricultura de pequena escala
Torres-Rouff and King 2014,Chile,San Pedro de Atacama,San Pedro de Atacama,575922.00 ,,,7452929.00 ,2450,Atacamenhos,Horizonte Médio,1550,950,0,,1,0,0,1,0,0,0,0,,1,199,46,38,,0,,,38,,,38,,0,0,,0,,,0,,0,0,,0,,,,,0,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,,Desértico,Oases,
Torres-Rouff and King 2014,Chile,San Pedro de Atacama,San Pedro de Atacama,575922.00 ,,,7452929.00 ,2450,Atacamenhos,Horizonte Médio,1550,950,0,,0,1,0,1,0,0,0,0,,1,194,23,19,,0,,,19,,,19,,0,0,,0,,,0,,0,0,,0,,,,,0,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,,Desértico,Oases,agricultura de pequena escala
Lessa e Mendoza de Souza 2006,Chile,San Pedro de Atacama,Coyo Oriente,578613.59,,,7462916.16,2450,Atacamenhos,Horizonte Médio/Periodo Tiwanaku,1430,70,1,Beta Analytic,1,0,0,1,0,0,0,0,,1,125,15,15,,0,,,15,,,13,,0,2,,0,,,0,,0,0,,0,,,,,0,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,1,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,,Desértico,Oases,agricultura de pequena escala
Lessa e Mendoza de Souza 2006,Chile,San Pedro de Atacama,Coyo Oriente,578613.59,,,7462916.16,2450,Atacamenhos,Horizonte Médio/Periodo Tiwanaku,1430,70,1,Beta Analytic,0,1,0,1,0,0,0,0,,1,101,10,10,,0,,,9,,,5,,0,4,,0,,,0,,0,0,,0,,,,,1,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,1,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Toconal oriente,575922.00 ,,,7452929.00 ,2450,Atacamenhos,Periodo intermpedio inicial,2150,1350,0,NA,1,0,0,1,0,0,0,0,,1,60,1,1,,0,,,0,,,0,,0,0,,0,,,0,,1,0,,1,,,,,0,,,0,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,Tribo,permanente,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Coyo 3_Yaye_Quitor6_Catarpe4_5,575922.00 ,,,7452929.00 ,2450,Atacamenhos,PIT,950,550,0,NA,1,0,0,1,0,0,0,0,,1,128,34,34,,2,,,22,,,17,,0,5,,0,,,0,16,11,5,,17,,,,,0,,,1,1,0,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Coyo 3_Yaye_Quitor6_Catarpe4_5,575922.00 ,,,7452929.00 ,2450,Atacamenhos,PIT,950,550,0,NA,0,1,0,0,0,0,0,0,,1,99,31,31,,0,,,21,,,18,,0,3,,0,,,0,20,10,10,,21,,,,,0,,,1,0,1,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Coyo 3_Yaye_Quitor6_Catarpe4_5,575922.00 ,,,7452929.00 ,2450,Atacamenhos,PIT,950,550,0,NA,0,0,1,0,0,1,0,0,,1,22,1,1,,0,,,0,,,0,,0,0,,0,,,0,0,0,0,,0,,,,,0,,,0,0,0,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,Desértico,Oases,agricultura de pequena escala
