valley,site,tomb,unique_ID,period,sex,probable_sex ,dimorphism_index,age_categ,peri-mortem,#_peri,overkill,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sector,occipital,occipital_sector,ante-mortem,#_ante,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sectr,occipital,sum_traumas,trauma,critical_trauma,AMS Subset,valley,site,tomb,unique_ID,mod_cranium,mod_style,C14_RangeBP,Cal_medianBP,C14_RangeAD,main_period,phase
Aja,Ayaorcco,C1,Cr24,LIP,Female,,9,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C2,Cr41,Y,AO,625 - 547,589,1325 - 1403,LIP,PIII
Aja,Ayaorcco,C1,Cr25,LIP,Male,,15,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C2,Cr44,Y,AO,630 - 559   ,608,1320 - 1391,LIP,PIII
Aja,Ayaorcco,C1,Cr26,LIP,Ind,,NA,Child,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C2,Cr45,Y,AO,720 - 682    ,703,1230 - 1271,LIP,PII
Aja,Ayaorcco,C1,Cr27,LIP,Female,,9,Young Adult,N,0,N,A,X,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr49,Y,AO,720 - 679    ,702,1230 - 1271,LIP,PII
Aja,Ayaorcco,C1,Cr28,LIP,Female,,NA,Young Adult,Y,1,N,A,X,LR,,,,,,,N,0,,,,,,,,,1,Y,Y,,Aja,Ayaorcco,C3,Cr50,Y,AO,764 - 728    ,743,1186 - 1222,LIP,PII
Aja,Ayaorcco,C1,Cr29,LIP,Female,,7,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr52,Y,AO,663 - 572     ,637,1258 - 1296,LIP,PII
Aja,Ayaorcco,C1,Cr30,LIP,Male,,14,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr54,Y,AO,736 - 686  ,718,1214 - 1264,LIP,PII
Aja,Ayaorcco,C2,Cr31,LIP,Male,,NA,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr55,Y,AO,712 - 663,677,1238 - 1287,LIP,PII
Aja,Ayaorcco,C2,Cr32,LIP,Male,,NA,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr58,Y,AO,721 - 684    ,704,1229 - 1266,LIP,PII
Aja,Ayaorcco,C2,Cr33,LIP,Ind,,13,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr63,Y,AO,648 - 565    ,598,1302 - 1385,LIP,PIII
Aja,Ayaorcco,C2,Cr34,LIP,Male,,14,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr65,Y,AO,747 - 688   ,729,1203 - 1262,LIP,PII
Aja,Ayaorcco,C2,Cr35,LIP,Male,,NA,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr68,Y,AO,747 - 688     ,729,1203 - 1262,LIP,PII
Aja,Ayaorcco,C2,Cr36,LIP,Female,,8,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr69,Y,AO,768 - 734     ,754,1182 - 1216,LIP,PI
Aja,Ayaorcco,C2,Cr37,LIP,Ind,,8,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr71,Y,AO,720 - 679   ,702,1230 - 1271,LIP,PII
Aja,Ayaorcco,C2,Cr38,LIP,Male,probable ,12,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr73,Y,AO,786 - 735    ,760,1040 - 1206,LIP,PI
Aja,Ayaorcco,C2,Cr39,LIP,Male,,14,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr74,Y,AO,720 - 677   ,700,1130 - 1273,LIP,PII
Aja,Ayaorcco,C2,Cr40,LIP,Female,,15,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C3,Cr76,Y,AO,903 - 795    ,864,1047 - 1155,LIP,PI
Aja,Ayaorcco,C2,Cr41,LIP,Male,,NA,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C4,Cr77,Y,AO,627 - 553 ,608,1256 - 1294,LIP,PII
Aja,Ayaorcco,C2,Cr42,LIP,Female,,8,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C4,Cr79,Y,AO,792 - 750 ,772,1158 - 1200,LIP,PI
Aja,Ayaorcco,C2,Cr43,LIP,Female,,6,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C4,Cr80,Y,AO,665 - 575     ,651,1285 - 1375,LIP,PIII
Aja,Ayaorcco,C2,Cr44,LIP,Ind,,12,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C4,Cr81,N,NA,739 - 689     ,725,1211 - 1261,LIP,PII
Aja,Ayaorcco,C2,Cr45,LIP,Male,,7,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C4,Cr82,N,NA,747 - 688   ,729,1203 - 1262,LIP,PII
