autor_ano;pais;regiao;sitio;status_mortuario;contx_violencia;lat;long;elevação_m;Fact_elev;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;fx_idade;n_id;n_id_afetados;n_id_naoafetados;n_fr_afetados;n_id_antimortem;n_les_antimortem;n_id_perimortem;n_les_perimortem;anti_peri;n_tr_anterior;n_antimortem_anterior;n_perimortem_anterior;nasal;maxilar;boca_mandibula;frontal;sutura_frontozigomatica;n_tr_posterior;n_antimortem_posterior;n_perimortem_posterior;occipital;n_tr_pariental;parietal_e;pariental_d;pterion;n_tr_lateral;n_antimortem_lateral;n_tr_perimortem_lateral;lateral_e;lateral_d;zigomatico;processo_zigo_d;processo_zigo_e;n_tr_temporal;temporal_e;temporal_d;n_tr_superior;n_antimortem_superior;n_perimortem_superior;n_cabeca_ trofeu;n_cabeca_ trofeu_trauma;n_cabeca_ trofeu_trauma_anti;n_cabeca_ trofeu_trauma_peri;n_postcranio;n_postcranio_afetado;costela;vert_lombares;vert_toráxicas;vert_cervicais;torax;n_membros_superior;glenoid;humero;radio;ulna;acetabulo;escapula;femur;tibia;fibula;frat_depressiva;Frat_Perfurante;frat_cortante;frat_circular;flecha_projetil;arma_lamina;arma_corpo;Outro instrumento;agressão interpessoal;rading_invasao;guerra;canibalismo;ritual;acidental_laboral;n_id_deformacoes;n_patologias;n_cribia_orbitaria;n_hiperostosis_porotica;n_periostiti;infec_osteomielite;n_congenitas;n_exostose_ouvido;n_caries;n_hipoplasia_linear;n_reabsorcao_aveolar;n_poscr_cribia_orbitaria;n_poscr_hiperostosis_porotica;Infec_posCr_periostiti;n_poscr_osteomeliti;n_fusao_vert;n_pt_ambientais;n_osteoporose;n_exostose;n_osteofitose;n_espodilose;n_osteoartrite;padr_funerário;cultura_material;iconografia_v;grafismos_v;ev_fort;estr_sociopolitica;pad_assentamento;bioma;clima;carc_geografica;estrg_subsistencia
Tung 2007 e Tung 2012;Peru;Vale de Majes;La_Real;elite;bat_ritual;-16,2487;-72,473;477;;Wari;HM;1300;1150;NID;adulto;39;11;28;0,28;27;;3;;2;9;;;;;;;;3;;;;;;;;3;;;1;2;;;;;;;1;;;;;;;124;21;3;3;5;1;0;8;0;3;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;Estado;centro mortuario;;frio_de_montanha;vale;
Tung 2007 e Tung 2012;Peru;Vale de Majes;La_Real;elite;bat_ritual;-16,2487;-72,473;477;;Wari;HM;1300;1150;M;adulto;39;16;23;0,41;;;;;;17;;;;;;;;6;;;;;;;;5;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;centro mortuario;;;;
Tung 2007 e Tung 2012;Peru;Vale de Majes;La_Real;elite;bat_ritual;-16,2487;-72,473;477;;Wari;HM;1300;1150;F;adulto;26;5;21;0,19;;;;;;1;;;;;;;;4;;;;;;;;1;;;0;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;centro mortuario;;;;
Tung 2008;Peru;Ayacucho;Huari_Monqachayoq;comum;;-13,0647;-74,1747;2839;;pós-Wari;PIT;930;520;M;adulto;18;12;6;0,67;12;19;9;14;;11;8;3;;;;;;9;4;5;;;;;;11;5;6;5;6;;;;;;;2;2;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;urbano;;frio_de_montanha;vale;
Tung 2008;Peru;Ayacucho;Huari_Monqachayoq;comum;;-13,0647;-74,1747;2839;;pós-Wari;PIT;930;520;F;adulto;11;9;2;0,82;8;21;4;7;;16;13;3;;;;;;7;5;2;;;;;;5;3;2;3;2;;;;;;;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;urbano;;frio_de_montanha;vale;
Kurin 2012;Peru;Andahuayalas;Turpo;;;-13,7853;-73,4736;3206;;Wari;HM;1300;1150;M;adulto;11;2;9;0,18;2;4;0;0;0;3;3;0;0;0;0;2;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurin 2012;Peru;Andahuayalas;Turpo;;;-13,7853;-73,4736;3206;;Wari;HM;1300;1150;F;adulto;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurin 2012;Peru;Andahuayalas;Pucullu;;;-13,5959;-73,3679;3006;;Quechua;PIT;950;400;M;adulto;15;12;3;0,8;;15;;5;;11;11;0;;;;;;2;1;1;;;;;;7;3;4;5;2;;;;;;;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Pucullu;;;-13,5959;-73,3679;3006;;Quechua;PIT;950;400;F;adulto;10;5;5;0,5;;12;0;0;0;2;2;0;;;;;;8;8;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;;Chanka;PIT;950;400;M;adulto;19;11;8;0,58;;22;;9;0;13;8;5;;;;;;5;5;0;;;;;;11;8;3;6;5;;;;;;;1;1;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;;Chanka;PIT;950;400;F;adulto;17;11;6;0,65;;9;;4;0;4;2;2;;;;;;4;3;1;;;;;;4;4;0;3;1;;;;;;;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;;Chanka;PIT;950;400;NID;adulto;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;;Chanka;PIT;950;400;M;jovem_adulto;63;36;27;0,57;;43;;21;0;24;17;7;;;;;;10;10;0;;;;;;25;13;12;13;12;;;;;;;4;3;1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;frio_de_montanha;vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;;Chanka;PIT;950;400;F;jovem_adulto;72;45;27;0,63;;54;;38;0;27;15;12;;;;;;11;4;7;;;;;;34;20;14;17;17;;;;;;;16;15;1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;frio_de_montanha;vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;;Chanka;PIT;950;400;NID;jovem_adulto;27;3;24;0,11;;2;;5;0;4;1;3;;;;;;1;0;1;;;;;;2;1;1;1;1;;;;;;;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;frio_de_montanha;vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Natividad_Museum_collection;;;-13,7592;-73,528;3049;;Chanka;PIT;950;400;M;jovem_adulto;16;11;5;0,69;;6;;3;0;2;1;1;;;;;;3;1;2;;;;;;3;3;0;1;2;;;;;;;1;1;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;frio_de_montanha;vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Natividad_Museum_collection;;;-13,7592;-73,528;3049;;Chanka;PIT;950;400;NID;jovem_adulto;3;3;0;1;1;1;2;2;0;1;0;1;;;;;;0;0;0;;;;;;1;0;1;1;0;;;;;;;1;1;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;frio_de_montanha;vale;Agricutura
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;;;-16,3386;-72,4785;1173;;Wari inicial;HM;1650;1200;M;adulto;65;52;13;0,8;48;132;5;7;1;67;67;0;17;2;0;3;;21;18;3;3;2;;;;22;22;0;;;3;;;;;;15;15;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;Estado;;;;vale;Agricutura
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;;;-16,3386;-72,4785;1173;;Wari inicial;PIP_HM;1650;1200;NID;adulto;34;15;19;0,44;15;26;0;0;0;14;14;0;6;0;0;1;0;8;8;0;0;1;;;;1;1;0;;;1;;;;;;1;1;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;Estado;;;;vale;Agricutura
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa_El_Salvador_XII;;;-12,2066;-76,953;115;;Villa El Salvador XII;PIP;2050;1850;M;adulto;30;6;24;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1112;18;16;0;0;;0;70;84;0;;;0;0;0;0;0;0;0;0;0;;;0;0;0;;;;deserto;Costa;
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa_El_Salvador_XII;;;-12,2066;-76,953;115;;Villa El Salvador XII;PIP;2050;1850;F;adulto;31;3;28;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1315;14;19;0;0;0;0;196;170;0;;;0;0;0;0;0;0;0;0;0;;;0;0;0;;;;deserto;Costa;
McCool et al 2021;Peru;Nasca;Ayaorcco;;;-14,6546;-74,7041;881;;Nasca;PIT;1000;500;M;adulto;28;10;18;0,36;7;10;3;3;7;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vale;
McCool et al 2021;Peru;Nasca;Ayapata;;;-14,7136;-74,6577;881;;Nasca;PIT;1000;500;M;adulto;54;37;17;0,69;32;70;7;15;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Nasca;C. Tribolpata;;;-14,469;-74,5196;881;;Nasca;PIT;1000;500;M;adulto;9;4;5;0,44;4;14;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Nasca;Ayaorcco;;;-14,6546;-74,7041;881;;Nasca;PIT;1000;500;F;adulto;33;8;25;0,24;6;8;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Nasca;Ayapata;;;-14,7136;-74,6577;881;;Nasca;PIT;1000;500;F;adulto;50;20;30;0,4;16;22;8;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Nasca;C. Tribolpata;;;-14,469;-74,5196;881;;Nasca;PIT;1000;500;F;adulto;14;6;8;0,43;5;9;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Nasca;Ayaorcco;;;-14,6546;-74,7041;881;;Nasca;PIT;1000;500;NID;adulto;10;3;7;0,3;3;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Nasca;Ayapata;;;-14,7136;-74,6577;881;;Nasca;PIT;1000;500;NID;adulto;6;4;2;0,67;4;7;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Nasca;C. Tribolpata;;;-14,469;-74,5196;881;;Nasca;PIT;1000;500;NID;adulto;3;0;3;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrushko 2007 apud Arkush e Tung 2013 e Tung 2021;Peru;Nasca;Wata;;;-13,3469;-72,2456;;;;PIP;2050;1850;NID;adulto;8;2;6;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;frio_de_montanha;;
Dulanto 2016;Peru;Costa central;Cerro Culebra;;;-11,9404;-77,1223;;;Lima medio;PIP;2050;1850;M;adulto;4;2;2;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Cerro Culebra;;;-11,9404;-77,1223;;;Lima medio;PIP;2050;1850;F;adulto;10;4;6;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;;Nasca;PIP;2050;1850;M;adulto;39;4;35;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;;Nasca;PIP;2050;1850;F;adulto;24;3;21;0,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tung 2021;Peru;Nasca;Nasca _ Taruga Valley sites;;;;;;;Nasca;PIP;2050;1850;NID;adulto;10;1;9;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tung 2021;Peru;Nasca;Nasca _ Taruga Valley sites;;;;;;;Nasca;PIP;2050;1850;M;adulto;2;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tung 2021;Peru;Nasca;Nasca _ Taruga Valley sites;;;;;;;Nasca;PIP;2050;1850;F;adulto;7;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Álvarez 2013 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Catalina Huanca;;;;;;;Lima tardio;HM;1300;1150;M;adulto;11;3;8;0,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Álvarez 2013 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Catalina Huanca;;;;;;;Lima tardio;HM;1300;1150;F;adulto;5;1;4;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barreto 2012 apud Dulanto 2016;Peru;Costa central;Huaca Pucllana;;;;;;;Lima tardio;HM;1300;1150;M;adulto;12;3;9;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barreto 2012 apud Dulanto 2016;Peru;Costa central;Huaca Pucllana;;;;;;;Lima tardio;HM;1300;1150;F;adulto;20;1;19;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fierro c.1998 apud Dulanto 2016;Peru;Costa central;Cajamarquilla-Tello;;;;;;;Lima tardio;HM;1300;1150;F;adulto;3;1;2;0,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
