autor_ano;pais;regiao;sitio;long_leste_m;lat_sul_m;elevacao_m;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;n_id;n_id_traumas;sem_traumas;fr_traumas;n_id_antimortem;fr_antimortem;n_id_perimortem;fr_perimortem;n_tr_anterior;nasal;frontal;n_tr_posterior;n_tr_pariental;parietal_e;pariental_d;n_tr_lateral;n_antimortem_lateral;n_tr_perimortem_lateral;lateral_e;lateral_d;ev_fort;estr_sociopolitica;clima;carc_geografica
Standen et al 2021;Chile;Vale de Azapa ;Azapa_75;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;21;3;18;0,14;1;0,05;1;0,05;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_115;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;9;0;9;0,00;0;;0;;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_115;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;8;1;7;0,13;0;;1;0,13;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_122;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;1;0;1;0,00;0;;0;;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_122;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;3;0;3;0,00;0;;0;;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_146;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;3;3;0;1,00;0;;3;1,00;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_146;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;0;0;0;;0;;0;;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Az_28614;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;1;1;0;1,00;0;;1;1,00;;;;;;;;;;;;;;;deserto;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Pré_Wari_Huarpa;PIP;1700;1350;M;1;1;0;1,00;1;1,00;0;;0;0;0;0;0;0;0;1;;;;;0;;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Pré_Wari_Huarpa;PIP;1700;1350;F;4;2;2;0,50;2;0,50;0;;0;0;0;0;0;0;0;0;;;;;0;;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Pré_Wari_Huarpa;PIP;1700;1350;NID;6;0;6;0,00;0;0,00;0;;0;0;0;0;0;0;0;0;;;;;0;;frio_de_montanha;vale
Tung 2007, Tung 2012, Tung 2008;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Wari;HM;1300;1150;M;14;4;10;0,29;4;0,29;0;;2;;;4;;;;;;;;;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Wari;HM;1300;1150;F;25;6;19;0,24;6;0,24;0;;0;;;7;;;;;;;;;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Wari;HM;1300;1150;NID;5;0;5;0,00;0;;0;;0;0;0;0;0;0;0;0;;;;;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Wari;HM;1300;1150;NID;0;0;0;;0;;0;;0;0;0;0;0;0;0;0;;;;;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;771511.57;8206300.40;477;Wari;HM;1300;1150;NID;39;13;26;0,33;9;0,23;3;0,08;5;;;11;;;;;;;0;2;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Vale de Majes;La_Real;771511.57;8206300.40;477;Wari;HM;1300;1150;NID;104;32;72;0,31;27;0,26;3;0,03;27;;;13;;;;;;;4;5;0;Estado;frio_de_montanha;vale
Tung 2008;Peru;Ayacucho;Huari_Monqachayoq;579248.86;8545412.33;2839;pós-Wari;PIT;930;520;M;18;12;6;0,67;12;0,67;9;0,50;11;;;9;;;;11;5;6;5;6;1;;frio_de_montanha;vale
Tung 2008;Peru;Ayacucho;Huari_Monqachayoq;579248.86;8545412.33;2839;pós-Wari;PIT;930;520;F;11;9;2;0,82;8;0,73;4;0,36;16;;;7;;;;5;3;2;3;2;1;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;8475670.78;3206;Wari;HM;1300;1150;M;11;2;9;0,18;2;0,18;0;;3;0;2;1;1;0;1;0;0;0;0;0;;;;
